city,state,time_date,sun_hourly,sun_daily,condition_code
holiday,fl,2020-08-06 04:00:00,NaN,NaN,7.0
lasvegas,nv,2020-08-03 18:00:00,NaN,NaN,1.0
clinton,ny,2020-07-23 10:00:00,NaN,NaN,5.0
fresno,ca,2020-07-19 21:00:00,NaN,NaN,2.0
thecolony,tx,2020-07-17 21:00:00,NaN,NaN,2.0
harperwoods,mi,2020-07-06 06:00:00,NaN,NaN,2.0
spokane,wa,2020-07-05,NaN,NaN,3.0
winchester,tn,2020-07-04 21:00:00,NaN,NaN,5.0
louisville,ky,2020-07-04 20:00:00,NaN,NaN,3.0
huntsville,al,2020-07-04 20:00:00,NaN,NaN,25.0
elmont,ny,2020-06-29 04:00:00,NaN,NaN,3.0
rome,ny,2020-06-25 22:00:00,NaN,NaN,7.0
coloradosprings,co,2020-06-03 13:00:00,NaN,NaN,1.0
cleveland,oh,2020-06-02 23:00:00,NaN,NaN,2.0
annapolis,md,2020-06-02 17:00:00,NaN,NaN,3.0
stockton,ca,2020-05-29 10:00:00,NaN,NaN,1.0
waikapu,hi,2020-05-27 16:00:00,NaN,NaN,2.0
st.louis,mo,2020-05-18 13:00:00,NaN,NaN,4.0
hollysprings,nc,2020-05-03 21:00:00,NaN,NaN,2.0
folcroft,pa,2020-05-02 07:00:00,NaN,NaN,2.0
newhaven,ct,2020-05-01 09:00:00,NaN,NaN,7.0
vancouver,wa,2020-04-30 17:00:00,NaN,NaN,3.0
birmingham,al,2020-04-29 21:00:00,NaN,NaN,7.0
covington,ky,2020-04-29 06:00:00,NaN,NaN,7.0
baltimorecity,md,2020-04-28 21:00:00,NaN,NaN,4.0
losangeles,ca,2020-04-27 22:00:00,NaN,NaN,2.0
severn,md,2020-04-27 21:00:00,NaN,NaN,3.0
ottawa(canada),on,2020-04-24 20:00:00,NaN,NaN,2.0
chapelhill,nc,2020-04-23 22:00:00,NaN,NaN,8.0
compton,ca,2020-04-22 10:00:00,NaN,NaN,2.0
lakeville,mn,2020-04-18 21:00:00,NaN,NaN,2.0
lakeville,mn,2020-04-18 21:00:00,NaN,NaN,2.0
eaglecreek,or,2020-04-17 22:00:00,NaN,NaN,2.0
lasvegas,nv,2020-04-17 21:00:00,NaN,NaN,3.0
westdeptford,nj,2020-04-16 22:00:00,NaN,NaN,3.0
washougal,wa,2020-04-16 21:00:00,NaN,NaN,2.0
montville,nj,2020-04-13 21:00:00,NaN,NaN,7.0
malden,ma,2020-04-11 22:00:00,NaN,NaN,2.0
rockyhill,ct,2020-04-10 22:00:00,NaN,NaN,7.0
rockyhill,ct,2020-04-10 22:00:00,NaN,NaN,7.0
hillandale,md,2020-03-30 21:00:00,NaN,NaN,2.0
tucson,az,2020-03-29 21:00:00,NaN,NaN,2.0
dayton,oh,2020-03-29,NaN,NaN,7.0
davenport,ia,2020-03-28 08:00:00,NaN,NaN,25.0
saintlouis,mo,2020-03-25 21:00:00,NaN,NaN,3.0
logan,oh,2020-03-23 13:00:00,NaN,NaN,5.0
howell,nj,2020-03-17 10:00:00,NaN,NaN,7.0
carmichael,ca,2020-03-07 21:00:00,NaN,NaN,7.0
eagle,id,2020-03-06 21:00:00,NaN,NaN,2.0
brunswick,oh,2020-03-05 21:00:00,NaN,NaN,3.0
brunswick,oh,2020-03-05 20:00:00,NaN,NaN,3.0
kingman,az,2020-03-04 21:00:00,NaN,NaN,1.0
idahofalls,id,2020-03-01 09:00:00,NaN,NaN,14.0
compton,ca,2020-02-28 02:00:00,NaN,NaN,3.0
elsobrante,ca,2020-02-27 05:00:00,NaN,NaN,1.0
newyork,ny,2020-02-21 20:00:00,NaN,NaN,2.0
nyc,ny,2020-02-21 03:00:00,NaN,NaN,3.0
newyorkcity(bronx),ny,2020-02-19 16:00:00,NaN,NaN,2.0
bayshore,ny,2020-02-17 20:00:00,NaN,NaN,2.0
clark,nv,2020-02-17 13:00:00,NaN,NaN,2.0
pembrokepines,fl,2020-02-16 14:00:00,NaN,NaN,7.0
alamo,ca,2020-02-14 22:00:00,NaN,NaN,3.0
cedarlake,in,2020-02-13 21:00:00,NaN,NaN,14.0
shoreline,wa,2020-02-10 20:00:00,NaN,NaN,2.0
framingham,ma,2020-01-30 18:00:00,NaN,NaN,2.0
cork(city)(ireland),,2020-01-28 07:00:00,NaN,NaN,3.0
jupiter,fl,2020-01-27 20:00:00,NaN,NaN,7.0
meridian,id,2020-01-27 20:00:00,NaN,NaN,3.0
coralsprings,fl,2020-01-25 22:00:00,NaN,NaN,3.0
lasvegas,nv,2020-01-15 22:00:00,NaN,NaN,2.0
miami,fl,2020-01-12 19:00:00,NaN,NaN,7.0
burlington,ky,2020-01-10 06:00:00,NaN,NaN,7.0
santamaria,ca,2019-12-30,NaN,NaN,5.0
chicago,il,2019-12-22 08:00:00,NaN,NaN,1.0
indianapolis,in,2019-12-21 19:00:00,NaN,NaN,2.0
hewlett,ny,2019-12-20 20:00:00,NaN,NaN,2.0
lynbrook,ny,2019-12-19 21:00:00,NaN,NaN,2.0
miami,fl,2019-12-16 22:00:00,NaN,NaN,3.0
oviedo,fl,2019-12-16 18:00:00,NaN,NaN,2.0
phoenix,az,2019-12-12 06:00:00,NaN,NaN,2.0
metairie,la,2019-11-28 18:00:00,NaN,NaN,3.0
bellevue,ne,2019-11-24,NaN,NaN,2.0
tucson,az,2019-11-23 06:00:00,NaN,NaN,1.0
chulavista,ca,2019-11-11 18:00:00,NaN,NaN,2.0
downey,ca,2019-11-08,NaN,NaN,5.0
wembley(canada),ab,2019-11-05 02:00:00,NaN,NaN,14.0
oregoncity,or,2019-11-03 10:00:00,NaN,NaN,2.0
surrey(canada),bc,2019-10-29 07:00:00,NaN,NaN,1.0
surrey(canada),bc,2019-10-29 07:00:00,NaN,NaN,1.0
lando'lakes,fl,2019-10-27 05:00:00,NaN,NaN,2.0
gilbert,az,2019-10-25 19:00:00,NaN,NaN,1.0
savannah,ga,2019-10-20,NaN,NaN,5.0
brooklyn,ny,2019-10-19,NaN,NaN,2.0
ft.lauderdalebeach,fl,2019-10-15,NaN,NaN,3.0
fowlriver,al,2019-10-10 17:00:00,NaN,NaN,2.0
portland,or,2019-10-09 21:00:00,NaN,NaN,2.0
newyorkcity(queens),ny,2019-10-07 06:00:00,NaN,NaN,7.0
lafayettehill,pa,2019-10-05 18:00:00,NaN,NaN,2.0
phoenix,az,2019-10-03 20:00:00,NaN,NaN,2.0
bayport,ny,2019-09-27 23:00:00,NaN,NaN,2.0
minneapolis,mn,2019-09-27 07:00:00,NaN,NaN,3.0
westindianapolis,in,2019-09-23 23:00:00,NaN,NaN,2.0
minneapolis,mn,2019-09-23 20:00:00,NaN,NaN,2.0
bismarck,nd,2019-09-20 01:00:00,NaN,NaN,1.0
statenisland,ny,2019-09-19 21:00:00,NaN,NaN,2.0
palatine,,2019-09-19 20:00:00,NaN,NaN,3.0
lasvegas,nv,2019-09-18 22:00:00,NaN,NaN,2.0
atlanticcity,nj,2019-09-18 20:00:00,NaN,NaN,3.0
bayville,ny,2019-09-07 03:00:00,NaN,NaN,4.0
vejen(denmark),,2019-08-31 13:00:00,NaN,NaN,2.0
metropolis,il,2019-08-30 21:00:00,NaN,NaN,5.0
newyorkcity(manhattan),ny,2019-08-20 03:00:00,NaN,NaN,3.0
atlanticbeachnorthcarolina,nc,2019-08-17 17:00:00,NaN,NaN,7.0
wuppertal(germany),,2019-08-17 05:00:00,0.0,NaN,8.0
