"USAF","WBAN","STATION_NAME","CTRY","ST","CALL,,"LAT","LNG","ELEV(M)","BEGIN","END"
"994028","99999","SANTA MONICA PIER            ","US","CA","    ","+34,008","-118,500","+0002.0","20080101","20210605"
"994029","99999","TOKE POINT                   ","US","WA","    ","+46,708","-123,965","+0005.0","20080101","20210605"
"994030","99999","DIAMOND SHLS LT.  NC         ","US","  ","    ","+35,150","-075,300","+0000.0","19850501","20030729"
"994031","99999","PORT ORFORD                  ","US","OR","    ","+42,740","-124,497","+0008.0","20080101","20210605"
"994032","99999","CHARLESTON                   ","US","OR","    ","+43,345","-124,322","+0002.0","20080101","20210605"
"994033","99999","ALAMEDA                      ","US","CA","    ","+37,772","-122,298","+0002.0","20080101","20210605"
"994034","99999","PORT CHICAGO                 ","US","CA","    ","+38,057","-122,038","+0002.0","20080101","20210605"
"994035","99999","LOS ANGELES                  ","US","CA","    ","+33,720","-118,272","+0002.0","20080101","20210605"
"994036","99999","RICHMOND                     ","US","CA","    ","+37,928","-122,400","+0005.6","20080101","20210605"
"994037","99999","PHILLIPS OILPLATFOR          ","US","TX","    ","+26,950","-094,683","+0010.0","20050419","20100521"
"994040","99999","FRYING PAN SHOALS  NC        ","US","  ","    ","+33,490","-077,590","+0000.0","19850509","20080912"
"994041","99999","REDWOOD CITY                 ","US","CA","    ","+37,507","-122,200","+0006.0","20080101","20210605"
"994042","99999","CHARLOTTE AMALIE             ","VQ","  ","    ","+18,330","-064,920","+0005.0","20080101","20210605"
"994043","99999","SAN JUAN                     ","RQ","  ","    ","+18,470","-066,120","+0005.0","20080101","20210605"
"994044","99999","ARENA COVE                   ","US","CA","    ","+38,920","-123,700","+0002.0","20080101","20210605"
"994045","99999","APPALACHICOLA                ","US","FL","    ","+29,730","-084,980","+0002.0","20080313","20210605"
"994046","99999","NANTUCKET ISLAND             ","US","MA","    ","+41,280","-070,100","+0000.0","20080101","20210605"
"994047","99999","PENSACOLA                    ","US","FL","    ","+30,400","-087,220","+0003.0","20080101","20210605"
"994048","99999","TACOMA                       ","US","WA","    ","+47,267","-122,413","+0005.0","20080101","20210605"
"994050","99999","LAKE WORTH  FL               ","US","  ","    ","+26,610","-080,030","+0000.0","19850501","20210605"
"994060","99999","MT DESERT ROCK  ME           ","US","ME","    ","+43,970","-068,130","+0009.1","19850121","20210605"
"994061","99999","CHEYBOGAN GLOS WEATHER STATIO","US","MI","    ","+45,651","-084,472","+0177.7","20100407","20151028"
"994062","99999","GREEN BAY ENTRANCE LIGHT     ","US","WI","    ","+44,655","-087,902","+0176.0","20100523","20120628"
"994063","99999","PRESQUE ISLE LIGHT GLOS WEATH","US","MI","    ","+45,356","-083,492","+0184.4","20100325","20151028"
"994064","99999","STURGEON POINT LIGHT GLOS WEA","US","MI","    ","+44,713","-083,273","+0184.4","20100325","20151028"
"994065","99999","TAWAS CITY GLOS WEATHER STATI","US","MI","    ","+44,256","-083,443","+0171.6","20100325","20210605"
"994066","99999","WHITEFISH POINT GLOS WEATHER ","US","MI","    ","+46,762","-084,966","+0185.9","20100325","20210605"
"994070","99999","DESTRUCTION IS.  WA          ","US","WA","    ","+47,680","-124,490","+0021.3","19850501","20210605"
"994080","99999","FIVE FINGER  AK              ","US","  ","    ","+57,270","-133,630","+0006.7","19850501","20210605"
"994081","99999","EAST AMATULI STATION LIGHT  A","US","  ","    ","+58,920","-151,950","+0033.2","20040713","20210605"
"994082","99999","APK - ARIPEKA  FL            ","US","  ","    ","+28,430","-082,660","+0000.0","20040713","20210605"
"994083","99999","NFB - NORTHWEST FLORIDA BAY  ","US","  ","    ","+25,080","-081,090","+0000.0","20040713","20151231"
"994084","99999","PILOT ROCK  AK               ","US","  ","    ","+59,740","-149,470","+0024.0","20040713","20210605"
"994085","99999","PAS -PORT RICHEY  FL         ","US","  ","    ","+28,280","-082,730","+0000.0","20040713","20081231"
"994086","99999","SHP - SHELL POINT  FL        ","US","  ","    ","+30,060","-084,290","+0000.0","20040713","20210605"
"994090","99999","PASSAGE ISLAND  MI           ","US","MI","    ","+48,220","-088,370","+0195.4","19850528","20210605"
"994100","99999","AMBROSE LIGHT  NY            ","US","NY","    ","+40,460","-073,830","+0000.0","19850330","20080728"
"994110","99999","PORT ARANSAS  TX             ","US","  ","    ","+27,830","-097,050","+0000.0","19850501","20210605"
"994120","99999","POINT ARENA  CA              ","US","CA","    ","+38,960","-123,740","+0017.4","19850501","20081231"
"994130","99999","ROCK OF AGES  MI             ","US","MI","    ","+47,870","-089,310","+0183.5","19850402","20210605"
"994140","99999","BUZZARDS BAY  MA             ","US","MA","    ","+41,400","-071,030","+0000.0","19850712","20210605"
"994150","99999","ST. JOHN'S LIGHT             ","US","  ","    ","+30,400","-081,400","+0030.0","19850501","19910709"
"994160","99999","CAPE LOOKOUT  NC             ","US","NC","    ","+34,620","-076,520","+0004.6","19850120","20210605"
"994170","99999","DEERFIELD BEACH              ","US","FL","    ","+26,317","-080,083","+0002.0","19850116","20020601"
"994180","99999","SMITH ISLAND  WA             ","US","  ","    ","+48,320","-122,840","+0015.2","19850411","20210605"
"994190","99999","DEVILS ISLAND  WI            ","US","WI","    ","+47,080","-090,730","+0191.7","19850501","20210605"
"994200","99999","STANNARD ROCK  MI            ","US","MI","    ","+47,180","-087,220","+0182.9","19850501","20210605"
"994210","99999","POINT ARGUELLO  CA           ","US","  ","    ","+34,580","-120,650","+0032.3","19430618","20210605"
"994220","99999","VENICE  FL                   ","US","FL","    ","+27,070","-082,450","+0000.0","19850622","20210605"
"994230","99999","FOLLY ISLAND  SC             ","US","  ","    ","+32,680","-079,890","+0003.0","19850501","20210605"
"994240","99999","CAPE ARAGO  OR               ","US","  ","    ","+43,340","-124,380","+0018.0","19850501","20081231"
"994250","99999","DUNKIRK  NY                  ","US","  ","    ","+42,490","-079,350","+0182.9","19850501","20210605"
"994260","99999","SABINE  TX                   ","US","  ","    ","+29,670","-094,050","+0000.9","19850501","20210605"
"994270","99999","ISLE OF SHOALS  NH           ","US","NH","    ","+42,970","-070,620","+0013.1","19850501","20210605"
"994280","99999","NEWPORT  OR                  ","US","  ","    ","+44,610","-124,070","+0009.1","19850501","20210605"
"994290","99999","GRAND ISLE  LA               ","US","  ","    ","+29,270","-089,960","+0001.8","19850501","20041231"
"994300","99999","TATOOSH ISLAND  WA           ","US","  ","    ","+48,390","-124,740","+0030.8","19850501","20171024"
"994310","99999","ALLIGATOR REEF               ","US","  ","    ","+24,900","-080,600","+0000.0","19850123","20020118"
"994320","99999","GALLOO ISLAND  NY            ","US","  ","    ","+43,890","-076,450","+0105.0","19850501","20020930"
"994330","99999","SHEBOYGAN  WI                ","US","  ","    ","+43,750","-087,690","+0175.9","19850501","20210605"
"994340","99999","SOUTH BASS ISLAND  OH        ","US","OH","    ","+41,630","-082,840","+0176.8","19850501","20201231"
"994350","99999","WEST POINT  WA               ","US","  ","    ","+47,660","-122,440","+0003.0","19850501","20210605"
"994360","99999","CAPE SAN BLAS  FL            ","US","  ","    ","+29,670","-085,360","+0001.8","19850501","20040907"
"994370","99999","MATINICUS ROCK  ME           ","US","  ","    ","+43,780","-068,860","+0016.2","19850302","20210110"
"994380","99999","SAVANNAH LIGHT  GA           ","US","  ","    ","+31,950","-080,680","+0030.0","19850517","20020525"
"994390","99999","SETTLEMENT POINT  GBI        ","US","  ","    ","+26,700","-079,000","+0001.5","19851203","20210605"
"994400","99999","THOMAS POINT  MD             ","US","  ","    ","+38,900","-076,440","+0000.0","19851205","20210605"
"994410","99999","ST. AUGUSTINE  FL            ","US","  ","    ","+29,860","-081,260","+0000.0","19870122","20210605"
"994420","99999","DAUPHIN ISLAND  AL           ","US","  ","    ","+30,250","-088,070","+0000.0","19870219","20210605"
"994430","99999","MOLASSES REEF  FL            ","US","  ","    ","+25,010","-080,380","+0000.0","19880929","20190406"
"994440","99999","MAIN PASS                    ","US","  ","    ","+29,400","-088,600","+0010.0","19880929","20010813"
"994450","99999","SOMBRERO KEY  FL             ","US","FL","    ","+24,630","-081,110","+0000.0","19880929","20210605"
"994460","99999","SOUTHERN OPEN SOUND  NY      ","US","  ","    ","+41,000","-073,100","+0000.0","19891108","20081231"
"994470","99999","GARDEN BANKS                 ","US","  ","    ","+27,800","-093,100","+0010.0","19900112","19920720"
"994480","99999","ENEWETAK/MARSHALLS           ","RM","  ","    ","+11,367","+162,367","+0002.0","19900322","19950604"
"994490","99999","UJAE ATOLL  MARSHALL         ","US","  ","    ","+08,930","+165,750","+0010.0","19900322","19950530"
"994500","99999","MILI  MARSHALLS IS.          ","US","  ","    ","+06,100","+172,100","+0010.0","19901214","19970830"
"994510","99999","SABINE                       ","US","TX","    ","+29,667","-094,050","+0005.0","19900913","20020219"
"994530","99999","EBON ATOLL  CAROLINE         ","US","  ","    ","+04,600","+168,700","+0010.0","19900914","20000229"
"994540","99999","KOSRAE  CAROLINE             ","FM","  ","    ","+05,360","+162,960","+0010.0","19901018","19920131"
"994550","99999","ALEXANDRIA BAY  NY           ","US","  ","    ","+44,330","-075,930","+0076.2","19950103","20081231"
"994560","99999","FOWEY ROCKS  FL              ","US","  ","    ","+25,590","-080,100","+0000.0","19940901","20210605"
"994570","99999","SAND KEY  FL                 ","US","  ","    ","+24,460","-081,880","+0000.0","19941007","20210605"
"994580","99999","SUPERIOR SHOALS  NY          ","US","  ","    ","+44,470","-075,800","+0077.4","19941007","20081231"
"994590","99999","THOUSAND I. BRDG.  NY        ","US","NY","    ","+44,300","-075,980","+0075.6","19941007","20081231"
"994610","99999","DUCK PIER  NC                ","US","NC","    ","+36,180","-075,750","+0000.0","20020219","20080731"
"994620","99999","LONG KEY  FL                 ","US","FL","    ","+24,840","-080,860","+0000.0","20020219","20210605"
"994630","99999","DRY TORTUGAS  FL             ","US","FL","    ","+24,640","-082,860","+0000.0","20020219","20040813"
"994640","99999","CEDAR KEY                    ","US","FL","    ","+29,140","-083,030","+0001.8","20020222","20210605"
"994650","99999","KEATON BEACH                 ","US","FL","    ","+29,820","-083,590","+0001.8","20020219","20210605"
"994660","99999","POTATO POINT                 ","US","AK","    ","+61,060","-146,700","+0007.0","20020219","20210605"
"994670","99999","MIDDLE ROCK LIGHT            ","US","AK","    ","+61,080","-146,660","+0000.0","20020219","20210605"
"994680","99999","BLIGH REEF LIGHT             ","US","AK","    ","+60,840","-146,880","+0000.0","20020219","20210605"
"994690","99999","DRIFT RIVER TERMINAL         ","US","AK","    ","+60,550","-152,140","+0015.9","20020219","20190407"
"994700","99999","AUGUSTINE ISLAND             ","US","AK","    ","+59,380","-153,350","+0009.1","20020703","20210605"
"994710","99999","068: BAFFIN BAY; POINT OF ROC","US","TX","    ","+27,300","-097,420","+0000.0","20040608","20210605"
"994720","99999","FLAT ISLAND LIGHT            ","US","AK","    ","+59,330","-151,990","+0017.9","20040608","20210605"
