manchester, ct, 2020-12-30 22:37:00, H: NaN, D: NaN, COCO: NaN
oaklandon, in, 2020-12-29 16:16:00, H: NaN, D: NaN, COCO: NaN
portangeles, wa, 2020-12-29 12:11:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2020-12-29 06:44:00, H: NaN, D: NaN, COCO: NaN
houston, tx, 2020-12-27 15:43:00, H: NaN, D: NaN, COCO: NaN
lordsvalley, pa, 2020-12-27 03:43:00, H: NaN, D: NaN, COCO: NaN
delmar, md, 2020-12-26 21:40:00, H: NaN, D: NaN, COCO: NaN
mt.vernon, in, 2020-12-24 13:50:00, H: NaN, D: NaN, COCO: NaN
grandjunction, co, 2020-12-20 04:47:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-12-20 03:24:00, H: NaN, D: NaN, COCO: NaN
st.peter, mn, 2020-12-19 22:39:00, H: NaN, D: NaN, COCO: NaN
eads, tn, 2020-12-19 09:50:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-12-19 04:51:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2020-12-16 23:27:00, H: NaN, D: NaN, COCO: NaN
newington, ct, 2020-12-16 02:20:00, H: NaN, D: NaN, COCO: NaN
elizabeth, co, 2020-12-16 00:49:00, H: NaN, D: NaN, COCO: NaN
manchester, ct, 2020-12-15 14:44:00, H: NaN, D: NaN, COCO: NaN
stockton, ca, 2020-12-15 00:00:00, H: NaN, D: NaN, COCO: 1.0
spokane, wa, 2020-12-14 03:07:00, H: NaN, D: NaN, COCO: NaN
showlow, az, 2020-12-13 23:22:00, H: NaN, D: NaN, COCO: NaN
hanover, ma, 2020-12-12 23:37:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-12-12 21:01:00, H: NaN, D: NaN, COCO: NaN
ajax(canada), on, 2020-12-12 10:41:00, H: NaN, D: NaN, COCO: NaN
lordsvalley, pa, 2020-12-11 17:03:00, H: NaN, D: NaN, COCO: NaN
portangeles, wa, 2020-12-11 13:34:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-12-10 04:13:00, H: NaN, D: NaN, COCO: NaN
garrettsville, oh, 2020-12-10 02:04:00, H: NaN, D: NaN, COCO: NaN
showlow, az, 2020-12-09 10:19:00, H: NaN, D: NaN, COCO: NaN
oaklandon, in, 2020-12-09 06:18:00, H: NaN, D: NaN, COCO: NaN
kenmore, wa, 2020-12-08 06:42:00, H: NaN, D: NaN, COCO: NaN
mt.vernon, in, 2020-12-06 00:25:00, H: NaN, D: NaN, COCO: NaN
grandjunction, co, 2020-12-05 23:47:00, H: NaN, D: NaN, COCO: NaN
naubinway, mi, 2020-12-05 18:33:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2020-12-05 09:34:00, H: NaN, D: NaN, COCO: NaN
deweyville, ut, 2020-12-04 19:15:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-12-03 21:02:00, H: NaN, D: NaN, COCO: NaN
northbrook, il, 2020-12-03 05:55:00, H: NaN, D: NaN, COCO: NaN
edmonds, wa, 2020-12-03 03:43:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-12-01 05:09:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2020-11-30 20:27:00, H: NaN, D: NaN, COCO: NaN
lacey, wa, 2020-11-30 00:01:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2020-11-29 19:14:00, H: NaN, D: NaN, COCO: NaN
northport, fl, 2020-11-29 15:45:00, H: NaN, D: NaN, COCO: NaN
sanford, fl, 2020-11-28 19:20:00, H: NaN, D: NaN, COCO: NaN
manchester, ct, 2020-11-28 06:13:00, H: NaN, D: NaN, COCO: NaN
oakharbor, wa, 2020-11-27 18:04:00, H: NaN, D: NaN, COCO: NaN
elizabeth, co, 2020-11-27 10:44:00, H: NaN, D: NaN, COCO: NaN
springfield, mo, 2020-11-27 07:37:00, H: NaN, D: NaN, COCO: NaN
eads, tn, 2020-11-27 00:50:00, H: NaN, D: NaN, COCO: NaN
london, , 2020-11-26 21:00:00, H: NaN, D: NaN, COCO: 5.0
hanover, md, 2020-11-26 03:26:00, H: NaN, D: NaN, COCO: NaN
westchazy, ny, 2020-11-25 06:46:00, H: NaN, D: NaN, COCO: NaN
brownwood, tx, 2020-11-25 05:45:00, H: NaN, D: NaN, COCO: NaN
brownwood, tx, 2020-11-25 05:45:00, H: NaN, D: NaN, COCO: NaN
furlong, pa, 2020-11-24 06:07:00, H: NaN, D: NaN, COCO: NaN
edmonds, wa, 2020-11-22 11:09:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-11-22 09:46:00, H: NaN, D: NaN, COCO: NaN
grandjunction, co, 2020-11-22 04:44:00, H: NaN, D: NaN, COCO: NaN
westchazy, ny, 2020-11-19 06:57:00, H: NaN, D: NaN, COCO: NaN
boise, id, 2020-11-19 04:22:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2020-11-19 03:11:00, H: NaN, D: NaN, COCO: NaN
seguin, , 2020-11-19 01:20:00, H: NaN, D: NaN, COCO: NaN
springfield, oh, 2020-11-17 17:20:00, H: NaN, D: NaN, COCO: NaN
portland, or, 2020-11-16 23:00:00, H: NaN, D: NaN, COCO: 7.0
grandjunction, co, 2020-11-16 08:05:00, H: NaN, D: NaN, COCO: NaN
columbia, mo, 2020-11-15 06:00:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2020-11-15 03:29:00, H: NaN, D: NaN, COCO: NaN
losaltos, ca, 2020-11-14 21:41:00, H: NaN, D: NaN, COCO: NaN
portangeles, wa, 2020-11-14 17:05:00, H: NaN, D: NaN, COCO: NaN
laurelville, oh, 2020-11-14 07:03:00, H: NaN, D: NaN, COCO: NaN
belgrade, mt, 2020-11-13 23:11:00, H: NaN, D: NaN, COCO: NaN
wyoming, de, 2020-11-13 17:30:00, H: NaN, D: NaN, COCO: NaN
wyoming, de, 2020-11-13 17:30:00, H: NaN, D: NaN, COCO: NaN
portangeles, wa, 2020-11-13 01:35:00, H: NaN, D: NaN, COCO: NaN
fishers, in, 2020-11-12 22:03:00, H: NaN, D: NaN, COCO: NaN
scappoose, or, 2020-11-11 18:00:00, H: NaN, D: NaN, COCO: 5.0
santaclaus, in, 2020-11-11 05:45:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-11-10 11:54:00, H: NaN, D: NaN, COCO: NaN
oxnard, ca, 2020-11-10 09:00:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2020-11-10 06:19:00, H: NaN, D: NaN, COCO: NaN
milan, ny, 2020-11-09 17:30:00, H: NaN, D: NaN, COCO: NaN
newburgh, in, 2020-11-09 02:25:00, H: NaN, D: NaN, COCO: NaN
columbia, mo, 2020-11-08 21:30:00, H: NaN, D: NaN, COCO: NaN
losaltos, ca, 2020-11-07 19:12:00, H: NaN, D: NaN, COCO: NaN
losaltos, ca, 2020-11-07 19:12:00, H: NaN, D: NaN, COCO: NaN
helena, mt, 2020-11-07 16:30:00, H: NaN, D: NaN, COCO: NaN
garrettsville, oh, 2020-11-07 06:39:00, H: NaN, D: NaN, COCO: NaN
verobeach, fl, 2020-11-05 20:30:00, H: NaN, D: NaN, COCO: NaN
columbia, mo, 2020-11-05 13:37:00, H: NaN, D: NaN, COCO: NaN
newyork, ny, 2020-11-05 11:37:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-11-05 09:07:00, H: NaN, D: NaN, COCO: NaN
newburgh, in, 2020-11-05 02:44:00, H: NaN, D: NaN, COCO: NaN
oaklandon, in, 2020-11-04 01:41:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-11-03 12:29:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2020-11-01 12:22:00, H: NaN, D: NaN, COCO: NaN
