name, state, date, time
New York City (Manhattan), NY, 5/12/09, 21:18
New York City (Staten Island), NY, 3/12/09, 21:00
New York City (City Island) (Queens), NY, 3/8/09, 19:30
New York City (Brooklyn), NY, 2/20/09, 05:10
New York City (Ridgewood; Queens), NY, 2/13/09, 19:55
New York City, NY, 5/16/08, 01:55
New York City (Queens), NY, 4/2/08, 20:30
New York City (Manhattan), NY, 2/7/08, 06:00
New York City (Manhattan), NY, 11/23/07, 23:00
New York City, NY, 10/28/07, 05:00
New York City, NY, 10/12/07, 05:30
New York City (Brooklyn), NY, 9/16/07, 01:40
New York City (Queens), NY, 7/12/07, 01:45
New York City (Manhattan), NY, 6/5/07, 22:32
New York City (Brooklyn), NY, 5/29/07, 21:35
New York City (Queens), NY, 5/14/07, 21:00
New York City, NY, 5/14/07, 19:30
New York City (Central Park), NY, 4/22/07, 14:00
New York City (Staten Island), NY, 3/10/07, 20:23
New York City (Queens), NY, 1/18/07, 07:32
New York City (Brooklyn), NY, 7/16/06, 21:50
New York City, NY, 4/14/06, 00:40
New York City, NY, 11/1/01, 19:00
New York, NY, 9/11/01, 09:00
New York City (Brooklyn), NY, 8/20/00, 23:00
New York City (Queens), NY, 5/6/96, 20:00
New York City, NY, 9/1/94, 02:00
New York City, NY, 2/26/93, 05:00
New York City (Manhattan), NY, 6/5/92, 13:00
New York City (Brooklyn), NY, 2/15/55, 19:00
New York City, NY, 12/13/20, 22:20
New York City (Brooklyn), NY, 9/19/20, 16:15
New York, NY, 8/8/20, 22:15
New York City (Manhattan), NY, 7/29/20, 20:21
New York City (Brooklyn), NY, 2/18/20, 11:30
New York, NY, 5/11/19, 16:00
New York, NY, 5/5/18, 20:36
New York City (Manhattan), NY, 1/17/16, 20:30
New York City (Brooklyn), NY, 11/26/14, 04:30
New York City (Manhattan), NY, 10/12/14, 16:00
New York City (Bronx), NY, 9/11/14, 02:00
New York City, NY, 1/1/14, 12:00
New York City (Brooklyn), NY, 6/22/13, 21:33
West New York, NJ, 5/27/13, 10:00
New York City, NY, 4/4/13, 23:40
New York City (Brooklyn), NY, 7/23/12, 22:20
New York City, NY, 6/12/12, 03:00
New York City (Astoria; Queens), NY, 12/18/11, 23:40
New York City (Brooklyn), NY, 12/1/11, 23:15
New York City (Manhattan), NY, 3/1/11, 17:15
New York City, NY, 9/11/10, 15:00
New York City (Manhattan), NY, 6/1/10, 19:05
New York City (Brooklyn), NY, 10/4/09, 15:30
New York City, NY, 10/2/09, 06:40
New York City (Brooklyn), NY, 8/29/09, 16:00
New York City (Manhattan), NY, 1/13/09, 04:20
New York City (Staten Island), NY, 1/10/07, 18:45
New York City (Brooklyn), NY, 7/2/06, 18:30
New York City (Manhattan), NY, 6/10/04, 04:00
New York City (Brooklyn), NY, 4/6/04, 15:00
New York City (Brooklyn), NY, 9/11/01, 06:00
New York City (Bronx), NY, 2/1/00, 20:30
New York City (Brooklyn), NY, 7/15/98, 14:00
New York City (Yonkers), NY, 6/30/93, 20:00
New York City (Far Rockaway) (Queens), NY, 6/23/91, 22:00
New York City, NY, 4/19/89, 20:00
New York City (Brooklyn), NY, 5/15/63, 07:00
New York City (Brooklyn), NY, 9/4/20, 18:10
New York City (Brooklyn), NY, 7/21/20, 21:00
New York City (Brooklyn), NY, 9/3/17, 21:50
New York City (Bronx), NY, 6/25/17, 18:00
New York City (Queens), NY, 10/2/16, 20:00
New York, NY, 6/21/16, 00:00
New York City (Queens), NY, 3/30/16, 07:55
New York City (Brooklyn), NY, 1/7/16, 12:25
New York City (Brooklyn), NY, 9/23/15, 05:34
New York City (Brooklyn), NY, 12/11/14, 06:00
New York City, NY, 5/25/14, 12:00
New York City (Queens; Flushing), NY, 1/4/14, 22:30
New York City (Brooklyn), NY, 7/30/12, 02:00
New York City (Brooklyn), NY, 7/10/11, 22:45
New York City (Staten Island), NY, 10/3/10, 05:20
New York City (Queens), NY, 4/10/10, 01:04
New York City (Queens; Elmhurst), NY, 11/15/09, 02:30
New York City (Queens), NY, 11/15/09, 02:30
New York City, NY, 10/14/09, 21:37
New York City (Queens), NY, 8/12/09, 02:00
New York City, NY, 8/1/09, 00:10
New York City (Brooklyn), NY, 10/30/07, 17:05
New York City (Brooklyn), NY, 8/12/07, 18:30
New York City (Queens), NY, 5/6/07, 15:30
New York City, NY, 1/26/07, 01:16
New York City, NY, 5/4/06, 00:00
New York City (Staten Island), NY, 2/14/04, 20:00
New York City (Manhattan), NY, 5/15/01, 13:00
New York City (Manhattan), NY, 10/1/96, 08:00
New York City, NY, 8/1/92, 00:00
New York City (Brooklyn), NY, 6/15/85, 23:00
New York City (Bronx), NY, 6/30/78, 21:00
New York City (Bronx), NY, 6/30/59, 20:00
New York City, NY, 1/2/50, 00:00
New York City (Brooklyn), NY, 1/2/50, 20:00
New York City (Long Island), NY, 1930's, 12:00
New York City (Queens)(Flushing Meadows), NY, 6/11/17, 11:00
New York City (Brooklyn), NY, 5/3/17, 08:00
New York City, NY, 11/18/16, 06:12
New York City, NY, 12/12/14, 09:10
New York City (Brooklyn), NY, 9/21/13, 20:30
New York, NY, 8/21/13, 21:40
New York City (Bronx), NY, 6/2/09, 19:30
New York City (Bronx), NY, 10/1/06, 12:30
New York City (Brooklyn), NY, 8/14/06, 19:40
New York City (Bronx), NY, 3/6/21, 00:00
New York, NY, 10/3/20, 17:41
New York City, NY, 7/18/20, 22:00
New York, NY, 9/24/19, 10:00
New York City (Brooklyn), NY, 7/8/18, 19:40
New York City (Brooklyn), NY, 10/9/16, 18:00
New York City, NY, 7/16/16, 22:30
New York City (Brooklyn), NY, 5/20/16, 23:05
New York City (Queens), NY, 3/1/16, 17:00
New York City (Manhattan), NY, 5/7/15, 23:00
New York City (Brooklyn), NY, 10/8/14, 06:45
New York City (Brooklyn), NY, 2/8/14, 18:10
New York City (Brooklyn), NY, 10/13/13, 22:55
New York City (Brooklyn), NY, 8/21/13, 22:30
New York City (Bronx), NY, 11/19/12, 21:00
New York City, NY, 11/12/12, 22:20
New York City (Brooklyn), NY, 10/20/12, 17:30
New York City (Manhattan), NY, 8/18/12, 22:00
New York City (Brooklyn), NY, 7/10/11, 14:00
New York City (Manhattan), NY, 6/14/11, 23:30
New York City, NY, 7/24/10, 18:30
New York City (Brooklyn), NY, 6/6/10, 02:00
New York City (Staten Island), NY, 3/13/10, 18:00
New York City (Bronx), NY, 7/6/09, 12:45
New York City, NY, 5/20/09, 20:00
New York City (Staten Island), NY, 11/1/08, 19:00
New York City (Brooklyn), NY, 7/4/08, 12:23
New York City (Brooklyn), NY, 6/23/08, 21:30
New York City (Bronx), NY, 5/8/07, 15:45
New York City (Whitestone), NY, 5/7/07, 14:01
New York City, NY, 12/31/06, 14:20
New York City (Manhattan), NY, 9/1/06, 19:00
New York City (Bronx), NY, 6/9/06, 23:46
New York City (Manhattan), NY, 6/1/06, 00:00
New York City, NY, 9/11/01, 12:00
New York City (Brooklyn), NY, 9/15/86, 03:00
New York City (Bronx), NY, 5/15/50, 13:00
New York City (Bronx), NY, 6/16/20, 01:20
New York City (upper West Side), NY, 4/18/17, 14:30
New York City (Queens), NY, 10/14/16, 18:30
New York City (Bronx), NY, 10/4/13, 23:55
New York City, NY, 10/15/07, 18:00
New York City (Yonkers), NY, 10/14/06, 02:25
New York City, NY, 7/25/19, 23:20
New York City, NY, 5/9/19, 21:55
New York City, NY, 9/15/18, 05:00
New York City (Brooklyn), NY, 11/28/17, 20:45
New York City (Brooklyn), NY, 11/26/16, 17:30
New York City (Brooklyn), NY, 8/11/16, 21:20
New York City, NY, 5/19/16, 14:04
New York City (Manhattan), NY, 9/5/15, 23:00
